Date,RunId,ViewId,ViewUniqueId,ViewName,ViewType,SheetNumber,IsOnSheet,Scale,Discipline,Phase,ViewTemplate_Name,IsTemplate,ExporterVersion,ConfigHash,ViewFrameHash,FromCache,ElapsedSec,CellSize_ft,CellSizeRequested_ft,CellSizeEffective_ft,ResolutionMode,CapTriggered
2025-10-25,20251025T000000,29165,199fb5e0-54cf-4175-b6d5-aee8525781c9-000071ed,Stantec Graphic Standards - Text & Dim Styles (Imperial),DraftingView,,False,1,Architectural,,,False,vop_interwoven,c4bd07c2,0be35ad0,N,0.734,0.010417,0.010417,0.010417,canonical,False
2025-10-25,20251025T000000,29296,199fb5e0-54cf-4175-b6d5-aee8525781c9-00007270,Stantec Graphic Standards - Filled Region Types,DraftingView,,False,1,Coordination,,,False,vop_interwoven,c4bd07c2,f39f1b99,N,1.078,0.010417,0.010417,0.010417,canonical,False
2025-10-25,20251025T000000,30169,199fb5e0-54cf-4175-b6d5-aee8525781c9-000075d9,Start Here Drafting View - Origin Point,DraftingView,,False,1,Coordination,,,False,vop_interwoven,c4bd07c2,f39f1b99,N,0.078,0.010417,0.010417,0.010417,canonical,False
2025-10-25,20251025T000000,31910,686cb78f-70d6-4017-9683-34468389edeb-00007ca6,Stantec Graphic Standards - Line Styles,DraftingView,,False,1,Coordination,,,False,vop_interwoven,c4bd07c2,f39f1b99,N,0.828,0.010417,0.010417,0.010417,canonical,False
2025-10-25,20251025T000000,49370,c5a8f9c1-a882-43d8-8749-25183d9a13bb-0000c0da,SEA LEVEL,FloorPlan,,False,96,Coordination,New Construction,z_Floor Plan - Do Not Rename,False,vop_interwoven,c4bd07c2,1c1b4f43,N,0.469,12.603271,1.0,12.603271,adaptive,True
2025-10-25,20251025T000000,102491,a4095ea8-a4f2-4b85-9aba-078ff7459f6a-0001905b,Model QC-Level 1-Fire Rating Check,FloorPlan,,False,96,Architectural,New Construction,z_Filters - Fire Rated Wall/Door Check,False,vop_interwoven,c4bd07c2,90246845,N,0.281,6.317256,1.0,6.317256,adaptive,True
2025-10-25,20251025T000000,140929,4d43559f-de67-4c41-ad1a-272c29bdd1ae-00022681,Model QC-Level 1-Generic Element Check,FloorPlan,,False,96,Architectural,New Construction,z_Filters - Generic Elements Check,False,vop_interwoven,c4bd07c2,90246845,N,0.281,6.317256,1.0,6.317256,adaptive,True
2025-10-25,20251025T000000,146925,64d3f457-04cb-481e-9da9-2f91f48e8823-00023ded,SEA LEVEL,CeilingPlan,,False,96,Coordination,New Construction,z_Ceiling Plan - Do Not Rename,False,vop_interwoven,c4bd07c2,1d851332,N,25.828,12.603271,1.0,12.603271,adaptive,True
2025-10-25,20251025T000000,266877,590a4c46-ee1a-411e-adbd-8d257a4e5a2c-0004127d,Model QC-Level 1-Partition Acoustical Rating Check,FloorPlan,,False,96,Architectural,New Construction,z_Filters - Partition - Acoustically Rated,False,vop_interwoven,c4bd07c2,90246845,N,0.312,6.317256,1.0,6.317256,adaptive,True
2025-10-25,20251025T000000,266887,590a4c46-ee1a-411e-adbd-8d257a4e5a2c-00041287,Model QC-Level 1-Partition Termination Check,FloorPlan,,False,96,Architectural,New Construction,z_Filters - Partition - Termination,False,vop_interwoven,c4bd07c2,90246845,N,0.297,6.317256,1.0,6.317256,adaptive,True
2025-10-25,20251025T000000,405908,b20382c8-cfeb-417c-abe2-d3ade7184433-00063194,Finish Schedule Families,DraftingView,,False,96,Coordination,,,False,vop_interwoven,c4bd07c2,5ad311e6,N,0.047,1.0,1.0,1.0,canonical,False
2025-10-25,20251025T000000,630733,92ef78ca-f258-4d4d-84b4-28cd05b808dc-00099fcd,Elevation 5 - a,Elevation,,False,96,Coordination,New Construction,,False,vop_interwoven,c4bd07c2,6147c316,N,0.219,1.0,1.0,1.0,canonical,False
